Baseline,0.00917191184509591
Gas,0.00871907421766334
Sveriges Förbrukning MWh,0.007333139903248385
Summa Vindkraft,0.006560696455379219
Summa Vattenkraft,0.006607041159310228
Summa kärnkraft,0.005484840387785647
Summa Värmekraft,0.006271511425059561
Summa Ospecificerat,0.006279740489317527
Summa Solkraft,0.0059701855699050435
Sveriges Produktion MWh,0.0056757487875804934
Import/Export,0.007612321397049688
Bioenergy and renewable waste,0.007422604777141208
Biomass and biogas,0.007215599383532338
Differently categorized fossil fuels,0.006984351346663069
Differently categorized hydro,0.007140663000324197
Differently categorized natural gas,0.010373383878491911
Differently categorized renewable energy sources,0.008004844698330231
Differently categorized solar,0.007980756524031333
Differently categorized wind,0.007731310299192158
Fossil fuels,0.006821653549462322
